name,file,line_start,scc_id,scc_kind,translated
cram_seek_to_refpos,htslib/cram/cram_index.c,572,,,FALSE
cram_set_voption,htslib/cram/cram_io.c,5692,,,FALSE
cram_set_option,htslib/cram/cram_io.c,5674,,,FALSE
free_part,htslib/multipart.c,53,,,FALSE
free_all_parts,htslib/multipart.c,66,,,FALSE
dehex,htslib/textutils.c,37,,,FALSE
encode_utf8,htslib/textutils.c,103,,,FALSE
fscan_string,htslib/textutils.c,164,,,FALSE
token_type,htslib/textutils.c,202,,,FALSE
hts_json_fnext,htslib/textutils.c,292,,,FALSE
skip_value,htslib/textutils.c,338,,,FALSE
hts_json_fskip_value,htslib/textutils.c,402,,,FALSE
ks_release,htslib/htslib/kstring.h,225,,,FALSE
parse_ga4gh_body_json,htslib/multipart.c,149,,,FALSE
parse_ga4gh_redirect_json,htslib/multipart.c,220,,,FALSE
hopen_htsget_redirect,htslib/multipart.c,241,,,FALSE
bgzf_hopen,htslib/bgzf.c,539,,,FALSE
format_category,htslib/hts.c,269,,,FALSE
find_file_extension,htslib/hts_internal.h,140,,,FALSE
decompress_peek_gz,htslib/hts.c,313,,,FALSE
decompress_peek_xz,htslib/hts.c,356,,,FALSE
isdigit_c,htslib/textutils_internal.h,171,,,FALSE
parse_version,htslib/hts.c,388,,,FALSE
cmp_nonblank,htslib/hts.c,414,,,FALSE
is_text_only,htslib/hts.c,428,,,FALSE
is_fastaq,htslib/hts.c,458,,,FALSE
parse_tabbed_text,htslib/hts.c,483,,,FALSE
colmatch,htslib/hts.c,540,,,FALSE
hts_detect_format2,htslib/hts.c,556,,,FALSE
cram_hfile,htslib/cram/cram_io.h,646,,,FALSE
bgzf_hfile,htslib/bgzf.c,2619,,,FALSE
hts_hfile,htslib/hts.c,1774,,,FALSE
hts_get_bgzfp,htslib/hts.c,2008,,,FALSE
sam_state_create,htslib/sam.c,3048,,,FALSE
sam_set_thread_pool,htslib/sam.c,3719,,,FALSE
sam_set_threads,htslib/sam.c,3746,,,FALSE
bgzf_set_cache_size,htslib/bgzf.c,2126,,,FALSE
hts_set_cache_size,htslib/hts.c,1945,,,FALSE
hts_filter_init,htslib/hts_expr.c,849,,,FALSE
hts_set_filter_expression,htslib/hts.c,1967,,,FALSE
fastq_state_init,htslib/sam.c,3786,,,FALSE
fastq_state_set,htslib/sam.c,3815,,,FALSE
hts_set_opt,htslib/hts.c,1791,8,mutual,FALSE
hts_set_threads,htslib/hts.c,1922,8,mutual,FALSE
hts_set_thread_pool,htslib/hts.c,1934,8,mutual,FALSE
hts_opt_apply,htslib/hts.c,1247,,,FALSE
hts_opt_free,htslib/hts.c,1279,,,FALSE
hts_opt_add,htslib/hts.c,1021,,,FALSE
hts_parse_opt_list,htslib/hts.c,1300,,,FALSE
hts_process_opts,htslib/hts.c,1413,,,FALSE
hts_crypt4gh_redirect,htslib/hts.c,1430,,,FALSE
hts_hopen,htslib/hts.c,1463,,,FALSE
hts_set_fai_filename,htslib/hts.c,1951,,,FALSE
bam_init1,htslib/sam.c,431,,,FALSE
bam_get_mempolicy,htslib/htslib/sam.h,966,,,FALSE
bam_destroy1,htslib/sam.c,469,,,FALSE
sam_hdr_incr_ref,htslib/header.c,2717,,,FALSE
build_header_line,htslib/header.c,743,,,FALSE
sam_hrecs_rebuild_lines,htslib/header.c,758,,,FALSE
sam_hrecs_rebuild_text,htslib/header.c,2376,,,FALSE
sam_hdr_dup_sdict,htslib/sam.c,144,,,FALSE
